"","date","name","code","daily_cases","cases_seven_day_average"
"229","2021-07-31","United Kingdom","K02000001",26144,27464.4285714286
"230","2021-07-30","United Kingdom","K02000001",29622,28271.7142857143
"231","2021-07-29","United Kingdom","K02000001",31117,29238.4285714286
"232","2021-07-28","United Kingdom","K02000001",27734,30494
"233","2021-07-27","United Kingdom","K02000001",23511,32832.5714285714
"234","2021-07-26","United Kingdom","K02000001",24950,36125
"235","2021-07-25","United Kingdom","K02000001",29173,38267.8571428571
"236","2021-07-24","United Kingdom","K02000001",31795,40980.4285714286
"237","2021-07-23","United Kingdom","K02000001",36389,44248.8571428571
"238","2021-07-22","United Kingdom","K02000001",39906,46460.4285714286
"239","2021-07-21","United Kingdom","K02000001",44104,47695.7142857143
"240","2021-07-20","United Kingdom","K02000001",46558,47438.2857142857
"241","2021-07-19","United Kingdom","K02000001",39950,46024.2857142857
"242","2021-07-18","United Kingdom","K02000001",48161,45241.5714285714
"243","2021-07-17","United Kingdom","K02000001",54674,42900.2857142857
"244","2021-07-16","United Kingdom","K02000001",51870,39713.5714285714
"245","2021-07-15","United Kingdom","K02000001",48553,37404.5714285714
"246","2021-07-14","United Kingdom","K02000001",42302,35118.5714285714
"247","2021-07-13","United Kingdom","K02000001",36660,33725.1428571429
"248","2021-07-12","United Kingdom","K02000001",34471,32598.4285714286
"249","2021-07-11","United Kingdom","K02000001",31772,31578.8571428571
"250","2021-07-10","United Kingdom","K02000001",32367,30504
"251","2021-07-09","United Kingdom","K02000001",35707,29435.1428571429
"252","2021-07-08","United Kingdom","K02000001",32551,28209.1428571429
"253","2021-07-07","United Kingdom","K02000001",32548,27557.4285714286
"254","2021-07-06","United Kingdom","K02000001",28773,26631.7142857143
"255","2021-07-05","United Kingdom","K02000001",27334,25446.8571428571
"256","2021-07-04","United Kingdom","K02000001",24248,24808.8571428571
"257","2021-07-03","United Kingdom","K02000001",24885,23470
"258","2021-07-02","United Kingdom","K02000001",27125,22525
"259","2021-07-01","United Kingdom","K02000001",27989,20908.5714285714
"260","2021-06-30","United Kingdom","K02000001",26068,19296.2857142857
"261","2021-06-29","United Kingdom","K02000001",20479,17877.2857142857
"262","2021-06-28","United Kingdom","K02000001",22868,16612.4285714286
"263","2021-06-27","United Kingdom","K02000001",14876,14864.5714285714
"264","2021-06-26","United Kingdom","K02000001",18270,14065.7142857143
"265","2021-06-25","United Kingdom","K02000001",15810,12930.1428571429
"266","2021-06-24","United Kingdom","K02000001",16703,12168.1428571429
"267","2021-06-23","United Kingdom","K02000001",16135,11354.4285714286
"268","2021-06-22","United Kingdom","K02000001",11625,10343
"269","2021-06-21","United Kingdom","K02000001",10633,9778.42857142857
"270","2021-06-20","United Kingdom","K02000001",9284,9365.42857142857
"271","2021-06-19","United Kingdom","K02000001",10321,9109.14285714286
"272","2021-06-18","United Kingdom","K02000001",10476,8740.14285714286
"273","2021-06-17","United Kingdom","K02000001",11007,8404.28571428571
"274","2021-06-16","United Kingdom","K02000001",9055,7888
"275","2021-06-15","United Kingdom","K02000001",7673,7671.57142857143
"276","2021-06-14","United Kingdom","K02000001",7742,7439.42857142857
"277","2021-06-13","United Kingdom","K02000001",7490,7145.28571428571
"278","2021-06-12","United Kingdom","K02000001",7738,6838.28571428571
"279","2021-06-11","United Kingdom","K02000001",8125,6556.42857142857
"280","2021-06-10","United Kingdom","K02000001",7393,6286.85714285714
"281","2021-06-09","United Kingdom","K02000001",7540,5984.14285714286
"282","2021-06-08","United Kingdom","K02000001",6048,5525.57142857143
"283","2021-06-07","United Kingdom","K02000001",5683,5113.71428571429
"284","2021-06-06","United Kingdom","K02000001",5341,4785.14285714286
"285","2021-06-05","United Kingdom","K02000001",5765,4485
"286","2021-06-04","United Kingdom","K02000001",6238,4146.85714285714
"287","2021-06-03","United Kingdom","K02000001",5274,3853.14285714286
"288","2021-06-02","United Kingdom","K02000001",4330,3605.71428571429
"289","2021-06-01","United Kingdom","K02000001",3165,3441.42857142857
"290","2021-05-31","United Kingdom","K02000001",3383,3345.42857142857
"291","2021-05-30","United Kingdom","K02000001",3240,3210.57142857143
"292","2021-05-29","United Kingdom","K02000001",3398,3067
"293","2021-05-28","United Kingdom","K02000001",4182,2966.42857142857
"294","2021-05-27","United Kingdom","K02000001",3542,2773.14285714286
"295","2021-05-26","United Kingdom","K02000001",3180,2677.71428571429
"296","2021-05-25","United Kingdom","K02000001",2493,2608.57142857143
"297","2021-05-24","United Kingdom","K02000001",2439,2597
"298","2021-05-23","United Kingdom","K02000001",2235,2531.28571428571
"299","2021-05-22","United Kingdom","K02000001",2694,2487.14285714286
"300","2021-05-21","United Kingdom","K02000001",2829,2391.85714285714
"301","2021-05-20","United Kingdom","K02000001",2874,2301
"302","2021-05-19","United Kingdom","K02000001",2696,2270
"303","2021-05-18","United Kingdom","K02000001",2412,2211.14285714286
"304","2021-05-17","United Kingdom","K02000001",1979,2220
"305","2021-05-16","United Kingdom","K02000001",1926,2274
"306","2021-05-15","United Kingdom","K02000001",2027,2251.71428571429
"307","2021-05-14","United Kingdom","K02000001",2193,2254.57142857143
"308","2021-05-13","United Kingdom","K02000001",2657,2297
"309","2021-05-12","United Kingdom","K02000001",2284,2290.71428571429
"310","2021-05-11","United Kingdom","K02000001",2474,2270.71428571429
"311","2021-05-10","United Kingdom","K02000001",2357,2195.28571428571
"312","2021-05-09","United Kingdom","K02000001",1770,2094.14285714286
"313","2021-05-08","United Kingdom","K02000001",2047,2080
"314","2021-05-07","United Kingdom","K02000001",2490,2060
"315","2021-05-06","United Kingdom","K02000001",2613,2044.42857142857
"316","2021-05-05","United Kingdom","K02000001",2144,2020.42857142857
"317","2021-05-04","United Kingdom","K02000001",1946,2023.57142857143
"318","2021-05-03","United Kingdom","K02000001",1649,2129.14285714286
"319","2021-05-02","United Kingdom","K02000001",1671,2188.42857142857
"320","2021-05-01","United Kingdom","K02000001",1907,2194.28571428571
"321","2021-04-30","United Kingdom","K02000001",2381,2216.28571428571
"322","2021-04-29","United Kingdom","K02000001",2445,2258.71428571429
"323","2021-04-28","United Kingdom","K02000001",2166,2299.28571428571
"324","2021-04-27","United Kingdom","K02000001",2685,2332.14285714286
"325","2021-04-26","United Kingdom","K02000001",2064,2309.14285714286
"326","2021-04-25","United Kingdom","K02000001",1712,2437.57142857143
"327","2021-04-24","United Kingdom","K02000001",2061,2461.85714285714
"328","2021-04-23","United Kingdom","K02000001",2678,2482.57142857143
"329","2021-04-22","United Kingdom","K02000001",2729,2470.85714285714
"330","2021-04-21","United Kingdom","K02000001",2396,2462.71428571429
"331","2021-04-20","United Kingdom","K02000001",2524,2476.28571428571
"332","2021-04-19","United Kingdom","K02000001",2963,2468.85714285714
"333","2021-04-18","United Kingdom","K02000001",1882,2555.28571428571
"334","2021-04-17","United Kingdom","K02000001",2206,2533.57142857143
"335","2021-04-16","United Kingdom","K02000001",2596,2588.28571428571
"336","2021-04-15","United Kingdom","K02000001",2672,2667.42857142857
"337","2021-04-14","United Kingdom","K02000001",2491,2718.57142857143
"338","2021-04-13","United Kingdom","K02000001",2472,2757.42857142857
"339","2021-04-12","United Kingdom","K02000001",3568,2744.14285714286
"340","2021-04-11","United Kingdom","K02000001",1730,2629
"341","2021-04-10","United Kingdom","K02000001",2589,2710
"342","2021-04-09","United Kingdom","K02000001",3150,2829.14285714286
"343","2021-04-08","United Kingdom","K02000001",3030,2865.14285714286
"344","2021-04-07","United Kingdom","K02000001",2763,3072.14285714286
"345","2021-04-06","United Kingdom","K02000001",2379,3256.28571428571
"346","2021-04-05","United Kingdom","K02000001",2762,3493.57142857143
"347","2021-04-04","United Kingdom","K02000001",2297,3763.85714285714
"348","2021-04-03","United Kingdom","K02000001",3423,3987.42857142857
"349","2021-04-02","United Kingdom","K02000001",3402,4172
"350","2021-04-01","United Kingdom","K02000001",4479,4569.85714285714
"351","2021-03-31","United Kingdom","K02000001",4052,4843.85714285714
"352","2021-03-30","United Kingdom","K02000001",4040,5065.71428571429
"353","2021-03-29","United Kingdom","K02000001",4654,5257
"354","2021-03-28","United Kingdom","K02000001",3862,5355.28571428571
"355","2021-03-27","United Kingdom","K02000001",4715,5562.42857142857
"356","2021-03-26","United Kingdom","K02000001",6187,5687
"357","2021-03-25","United Kingdom","K02000001",6397,5489.14285714286
"358","2021-03-24","United Kingdom","K02000001",5605,5475.71428571429
"359","2021-03-23","United Kingdom","K02000001",5379,5497.57142857143
"360","2021-03-22","United Kingdom","K02000001",5342,5485.42857142857
"361","2021-03-21","United Kingdom","K02000001",5312,5449.28571428571
"362","2021-03-20","United Kingdom","K02000001",5587,5350.14285714286
"363","2021-03-19","United Kingdom","K02000001",4802,5342.57142857143
"364","2021-03-18","United Kingdom","K02000001",6303,5600.71428571429
"365","2021-03-17","United Kingdom","K02000001",5758,5665
"366","2021-03-16","United Kingdom","K02000001",5294,5689
"367","2021-03-15","United Kingdom","K02000001",5089,5756.42857142857
"368","2021-03-14","United Kingdom","K02000001",4618,5702.57142857143
"369","2021-03-13","United Kingdom","K02000001",5534,5782.42857142857
"370","2021-03-12","United Kingdom","K02000001",6609,5854.71428571429
"371","2021-03-11","United Kingdom","K02000001",6753,5760.14285714286
"372","2021-03-10","United Kingdom","K02000001",5926,5734.42857142857
"373","2021-03-09","United Kingdom","K02000001",5766,5800
"374","2021-03-08","United Kingdom","K02000001",4712,5889.28571428571
"375","2021-03-07","United Kingdom","K02000001",5177,5995.42857142857
"376","2021-03-06","United Kingdom","K02000001",6040,6118
"377","2021-03-05","United Kingdom","K02000001",5947,6317.14285714286
"378","2021-03-04","United Kingdom","K02000001",6573,6685.14285714286
"379","2021-03-03","United Kingdom","K02000001",6385,7172.57142857143
"380","2021-03-02","United Kingdom","K02000001",6391,7680.14285714286
"381","2021-03-01","United Kingdom","K02000001",5455,7979.85714285714
"382","2021-02-28","United Kingdom","K02000001",6035,8720.71428571429
"383","2021-02-27","United Kingdom","K02000001",7434,9263.42857142857
"384","2021-02-26","United Kingdom","K02000001",8523,9688
"385","2021-02-25","United Kingdom","K02000001",9985,10188.5714285714
"386","2021-02-24","United Kingdom","K02000001",9938,10484.5714285714
"387","2021-02-23","United Kingdom","K02000001",8489,10881.7142857143
"388","2021-02-22","United Kingdom","K02000001",10641,11186.8571428571
"389","2021-02-21","United Kingdom","K02000001",9834,11061.7142857143
"390","2021-02-20","United Kingdom","K02000001",10406,11224.2857142857
"391","2021-02-19","United Kingdom","K02000001",12027,11638.8571428571
"392","2021-02-18","United Kingdom","K02000001",12057,12084.1428571429
"393","2021-02-17","United Kingdom","K02000001",12718,12289.4285714286
"394","2021-02-16","United Kingdom","K02000001",10625,12331.5714285714
"395","2021-02-15","United Kingdom","K02000001",9765,12580
"396","2021-02-14","United Kingdom","K02000001",10972,13199.8571428571
"397","2021-02-13","United Kingdom","K02000001",13308,13896
"398","2021-02-12","United Kingdom","K02000001",15144,14603.7142857143
"399","2021-02-11","United Kingdom","K02000001",13494,15170.8571428571
"400","2021-02-10","United Kingdom","K02000001",13013,16190.8571428571
"401","2021-02-09","United Kingdom","K02000001",12364,17075
"402","2021-02-08","United Kingdom","K02000001",14104,17714.4285714286
"403","2021-02-07","United Kingdom","K02000001",15845,18357.7142857143
"404","2021-02-06","United Kingdom","K02000001",18262,19106.7142857143
"405","2021-02-05","United Kingdom","K02000001",19114,19822.8571428571
"406","2021-02-04","United Kingdom","K02000001",20634,21246.4285714286
"407","2021-02-03","United Kingdom","K02000001",19202,22395.8571428571
"408","2021-02-02","United Kingdom","K02000001",16840,23268.1428571429
"409","2021-02-01","United Kingdom","K02000001",18607,23732.2857142857
"410","2021-01-31","United Kingdom","K02000001",21088,24244.8571428571
"411","2021-01-30","United Kingdom","K02000001",23275,25518.5714285714
"412","2021-01-29","United Kingdom","K02000001",29079,26986.7142857143
"413","2021-01-28","United Kingdom","K02000001",28680,28584.1428571429
"414","2021-01-27","United Kingdom","K02000001",25308,29900.1428571429
"415","2021-01-26","United Kingdom","K02000001",20089,31842.5714285714
"416","2021-01-25","United Kingdom","K02000001",22195,33737.7142857143
"417","2021-01-24","United Kingdom","K02000001",30004,35929.1428571429
"418","2021-01-23","United Kingdom","K02000001",33552,37156.8571428571
"419","2021-01-22","United Kingdom","K02000001",40261,38270.2857142857
"420","2021-01-21","United Kingdom","K02000001",37892,40484.5714285714
"421","2021-01-20","United Kingdom","K02000001",38905,42026
"422","2021-01-19","United Kingdom","K02000001",33355,43257.4285714286
"423","2021-01-18","United Kingdom","K02000001",37535,44997.1428571429
"424","2021-01-17","United Kingdom","K02000001",38598,46230.5714285714
"425","2021-01-16","United Kingdom","K02000001",41346,48565.1428571429
"426","2021-01-15","United Kingdom","K02000001",55761,51221
"427","2021-01-14","United Kingdom","K02000001",48682,52977
"428","2021-01-13","United Kingdom","K02000001",47525,53539.2857142857
"429","2021-01-12","United Kingdom","K02000001",45533,55653.1428571429
"430","2021-01-11","United Kingdom","K02000001",46169,57850.7142857143
"431","2021-01-10","United Kingdom","K02000001",54940,59652.8571428571
"432","2021-01-09","United Kingdom","K02000001",59937,59660
"433","2021-01-08","United Kingdom","K02000001",68053,59344
"434","2021-01-07","United Kingdom","K02000001",52618,57234.2857142857
